forename,males,females,total
apoorva,3,0,5
apostle,3,0,5
apostolos,4,0,6
apple,4,16,31
april,0,326,619
aprilia,1,1,2
aprill,0,3,3
aprille,0,2,5
apryl,0,4,12
apurva,7,1,11
aq,2,0,2
aqeel,9,0,12
aqeela,0,2,3
aqib,2,0,5
aqil,2,0,3
aqila,0,3,5
aqsa,0,3,7
aqua,1,1,5
aquanetta,0,2,4
aqueelah,0,3,4
aquila,1,6,9
aquiles,3,0,5
aquilla,1,1,3
aquino,2,0,2
ar,5,2,16
ara,10,6,28
arabelis,0,3,3
arabella,0,6,12
arabia,0,3,5
araceli,0,10,24
aracelis,0,20,38
aracelli,0,2,2
aracely,0,7,13
aracelys,0,5,6
aradhana,1,1,4
arafat,5,0,6
araina,0,2,2
aral,2,0,2
aralis,0,5,5
aram,13,2,27
aramis,13,0,18
aran,4,0,5
arancha,0,2,3
araselis,0,2,2
arash,8,0,23
arathi,0,2,4
arati,0,3,4
aravind,6,0,13
arben,17,0,26
arbey,2,0,3
arbnor,2,0,2
arby,1,1,4
arber,4,0,8
arcade,7,6,19
arcadio,2,0,4
arcangel,3,0,3
arcangelo,3,0,3
arcenio,3,1,4
arch,2,0,6
archana,0,11,30
archer,3,0,5
archibald,3,1,6
archie,32,0,43
archil,2,0,2
architect,2,0,2
archna,0,2,3
arda,6,0,16
ardalan,3,0,3
arden,4,4,22
ardi,2,0,3
ardian,11,0,14
ardiana,0,2,4
ardin,2,0,2
ardit,6,0,11
ardita,0,5,9
ardley,2,0,2
are,2,0,4
areefa,0,2,3
arek,5,0,7
areli,0,4,8
arelis,0,24,42
arely,0,6,8
arelys,0,4,6
aren,2,1,7
arena,1,1,2
ares,2,0,3
aretha,0,11,18
areti,0,3,6
areum,0,3,4
arezou,0,2,3
arf,2,0,2
arfa,0,3,3
argelia,0,3,4
argelis,3,1,6
argenis,16,1,23
argentina,0,5,10
argeny,2,0,2
argie,1,2,12
argirios,2,0,2
argy,0,3,3
argyrios,3,0,3
ari,172,24,427
aria,3,10,31
ariadna,0,7,11
ariadne,0,2,7
arial,0,2,2
arian,5,2,21
ariana,0,84,208
ariane,0,21,59
arianna,0,47,119
arianne,0,13,29
arianny,0,5,8
ariany,0,2,2
arias,2,1,4
aric,9,0,21
arie,13,2,28
arief,5,0,5
ariel,229,105,702
ariela,0,12,42
ariele,0,4,9
ariella,0,33,88
arielle,0,101,251
arien,1,1,3
aries,5,4,16
arif,20,0,51
ariful,2,0,3
arifur,2,0,3
arijit,3,0,4
arik,13,0,29
arika,0,4,5
arin,5,4,18
arina,0,5,15
arindam,2,0,3
arinjit,2,0,2
arinola,0,3,3
arinze,2,0,4
arion,2,0,5
aris,18,6,44
arisa,0,6,8
arisleyda,0,5,5
arismendi,2,0,3
arismendy,3,0,5
aristea,0,3,3
aristedes,2,0,3
aristide,2,0,7
aristides,7,0,9
aristotle,7,0,12
arita,0,3,4
aritra,2,0,2
arizona,1,1,3
arjan,3,0,8
arjay,3,0,5
arjeta,0,2,5
arjun,23,0,47
arjuna,4,0,5
ark,2,0,2
arka,2,0,3
arkadiusz,5,0,11
arkadiy,10,0,18
arkady,14,0,21
arla,0,3,4
arland,1,1,2
arleen,0,45,60
arleene,0,2,3
arleigh,0,2,5
arlen,6,3,12
arlene,0,328,528
arlenis,0,5,6
arleny,1,3,7
arlet,0,2,4
arleta,0,2,2
arlett,0,2,4
arlette,0,16,33
arletty,0,2,2
arlin,1,3,9
arlina,0,3,3
arlind,3,0,5
arlinda,0,4,7
arline,0,13,18
arlington,3,0,6
arlo,3,1,4
arly,0,2,2
arlyn,0,10,19
arlyne,0,6,9
arlynne,0,2,4
armaan,3,0,7
arman,23,0,35
armand,24,0,38
armando,116,0,198
armani,9,3,20
armel,5,1,9
armell,2,0,2
armelle,0,2,3
armen,12,1,20
armend,4,0,6
armi,1,1,4
armin,15,0,22
arminda,0,4,4
armon,3,0,5
armondo,2,0,3
armstrong,2,1,5
arn,2,0,3
arnab,4,0,8
arnaldo,21,0,34
arnaud,29,0,47
arne,5,0,10
arnel,11,1,19
arnell,3,0,3
arnelle,0,3,3
arnette,0,3,3
arni,4,0,4
arnie,26,1,36
arnise,0,3,3
arno,6,0,8
arnold,110,1,174
arnon,4,0,6
arnulfo,7,0,8
aroldo,3,0,4
aron,53,1,96
aroonporn,0,2,2
arpan,4,1,10
arpit,5,0,12
arpita,0,5,10
arquelio,2,0,3
arquimedes,2,0,2
arron,7,1,12
arry,1,1,2
arsa,2,0,3
arsalan,6,0,14
arsen,11,0,20
arsene,3,0,5
arsenio,13,0,22
arshad,8,0,12
arshia,0,3,6
arshiya,0,2,2
arsim,2,0,2
arslan,13,0,19
art,65,4,127
arta,0,5,11
artan,10,0,15
artavia,0,2,2
artem,32,0,61
artemis,3,9,23
artemus,3,0,3
arthur,389,1,655
arti,0,12,19
artie,48,2,86
artina,0,2,3
artist,2,3,7
artjom,2,0,2
arto,6,0,7
artun,2,0,3
artur,36,0,63
arturo,79,0,131
arty,5,1,10
artyom,5,0,9
arun,42,0,86
aruna,1,6,15
arune,2,0,2
aruni,0,2,3
arva,0,2,2
arvid,2,0,3
arvin,16,0,27
arvind,20,0,32
arvinder,4,0,4
ary,3,3,18
arya,3,0,7
aryan,8,0,12
aryeh,21,0,46
aryn,0,2,9
arzu,0,9,17
asad,26,0,48
asael,3,0,4
asaf,17,0,41
asako,0,11,17
asami,0,2,7
asani,3,0,3
asanka,2,0,2
asano,0,2,2
asare,2,0,2
ase,2,0,3
asel,0,2,5
asfand,2,0,2
asger,2,0,2
ash,26,21,92
asha,2,45,105
ashaki,0,3,4
ashanta,1,1,2
ashante,0,7,10
ashanti,4,28,46
ashawn,3,0,3
asheen,1,1,2
asheley,0,3,5
asheli,0,2,2
ashely,1,3,7
asher,36,0,73
ashey,1,1,2
ashford,3,0,4
ashi,1,2,5
ashia,0,2,4
ashik,5,0,9
ashim,2,0,3
ashima,0,6,9
ashiq,5,0,7
ashir,2,0,2
ashish,58,1,118
ashkan,3,0,5
ashlea,0,2,6
ashlee,1,50,99
ashleen,0,2,4
ashlei,0,5,9
ashleigh,1,51,108
ashley,42,1260,2818
ashley-marie,0,2,3
ashli,0,6,12
ashlie,0,11,18
ashling,0,2,8
ashly,0,11,19
ashlyn,0,3,12
ashmir,2,0,2
ashna,0,2,4
ashok,24,0,33
ashoka,2,0,2
ashraf,23,2,40
ashraful,2,0,5
ashram,2,0,2
ashton,26,5,55
ashu,1,2,7
ashutosh,8,0,9
ashwin,17,0,39
ashwini,1,6,8
ashy,2,1,9
asi,7,0,12
asia,1,85,153
asif,41,0,76
asifa,0,2,3
asil,2,0,4
asim,22,0,51
asiya,0,3,6
asiyah,0,4,5
asja,0,2,3
ask,3,3,8
aska,0,2,3
askia,2,0,5
aslam,7,0,8
aslan,2,0,6
asli,0,8,25
asma,0,18,38
asmaa,0,2,6
asmita,0,4,6
aspasia,0,5,6
aspen,2,2,5
asra,0,2,5
assa,1,3,5
assad,5,0,6
assaf,15,0,30
assane,2,0,5
assata,0,3,6
assen,2,0,2
assia,0,2,3
assistant,1,1,2
asta,1,5,13
aster,0,3,5
asthon,3,0,3
astley,2,0,4
aston,9,0,18
astoria,3,0,3
astra,0,2,5
astri,1,2,3
astrid,0,40,99
astride,0,2,5
astrit,4,0,7
asuka,0,8,16
asuncion,1,1,4
aswad,2,0,3
asworth,2,0,2
asya,0,13,21
at,1,1,4
atabex,0,2,2
atakan,7,0,11
atanisha,0,2,2
atanu,2,0,3
atara,0,4,15
atarah,1,1,3
atasha,0,3,4
ataur,2,0,3
atef,9,0,11
athan,3,0,4
athanasia,0,2,5
athanasios,6,0,9
athar,4,0,6
athea,0,3,3
athenia,0,3,4
athena,0,72,135
athina,0,4,9
atia,0,2,7
atiana,0,2,2
atiba,14,1,20
atif,14,0,25
atila,2,1,3
atilla,5,0,10
atina,0,3,6
atiq,3,0,4
atir,1,1,2
atish,2,0,3
atit,4,0,7
atiya,0,12,24
atiyah,0,2,3
atlantic,1,1,4
atlas,4,0,6
atli,2,0,2
ato,2,0,6
atom,4,0,6
atoya,0,2,2
atsuko,0,9,14
atsumi,0,2,2
atsushi,7,0,10
atta,3,1,5
atticus,4,0,8
attika,1,1,2
attila,12,1,23
attilio,6,0,7
attiya,0,2,3
atul,23,0,36
atum,2,0,2
au,0,2,4
aubree,0,3,6
aubrey,33,31,116
aubri,0,2,3
aubrie,0,2,3
aubyn,5,1,6
aude,0,6,16
auden,2,0,2
audi,3,0,9
audie,2,2,11
audley,2,0,5
audra,0,59,117
audrea,0,4,5
audree,0,2,2
audrey,0,258,496
audri,1,1,2
audriana,0,2,2
audrina,0,6,8
audrius,3,0,4
audry,1,6,7
audwin,2,0,3
audy,4,0,6
auggie,5,0,6
augie,15,0,23
august,16,1,38
augusta,0,7,11
auguste,5,0,7
augustin,5,0,9
augustina,0,6,11
augustine,20,0,28
augustino,4,0,5
augusto,27,0,46
augustus,8,0,14
aulana,0,2,2
aun,3,1,5
aundre,4,0,7
aundrea,1,6,12
aung,8,0,14
aunt,1,4,10
auntie,0,3,3
aura,0,28,56
aurea,0,12,19
aurel,2,0,7
aurelia,1,15,31
aurelie,0,15,30
aurelien,4,0,8
aurelio,12,1,13
aurelle,1,2,3
auri,2,2,5
auria,0,3,5
aurora,0,44,89
aurore,0,4,15
aury,0,4,4
ausar,1,1,4
austen,5,1,12
austin,160,7,332
austine,2,0,3
australia,0,2,2
austria,0,2,2
austyn,2,0,3
author,3,0,4
autum,0,2,3
autumn,1,39,86
ava,0,83,170
avalon,1,11,19
avaneep,2,0,2
avani,0,11,21
avanti,0,2,4
ave,1,6,11
avedis,2,0,2
avel,3,2,6
avelino,4,0,4
average,2,0,2
averie,0,2,4
averill,3,1,5
avery,55,14,132
avi,168,2,371
avia,0,3,8
aviad,8,0,9
avian,2,1,5
avianca,0,2,2
aviann,0,2,3
avichai,2,0,4
avichal,2,0,2
avid,2,0,2
avie,1,1,2
avigail,0,11,18
avigayil,0,2,5
avijit,3,0,4
avik,2,0,5
avila,0,3,3
aviles,2,0,2
avin,5,0,9
avinash,24,0,42
avion,2,8,17
avis,2,7,16
avishai,6,0,13
avishay,4,0,6
avital,1,7,32
aviv,6,0,19
aviva,0,60,131
avivit,0,2,8
avneet,3,1,8
avner,8,0,13
avni,2,2,13
avon,2,2,9
avra,0,2,4
avraham,23,0,34
avram,3,0,7
avril,0,18,28
avrohom,6,0,8
avrom,2,0,7
avromi,3,0,4
avrum,2,0,3
avrumi,5,0,11
avrumie,2,0,3
avshalom,2,0,3
avtandil,2,0,2
avtar,4,0,7
avy,2,0,5
awa,0,7,12
awais,4,0,12
awilda,0,49,74
ax,3,0,3
axa,0,2,2
axel,35,0,59
axelle,0,2,3
axiom,1,1,2
ay,3,1,12
aya,0,26,73
ayah,0,2,6
ayaka,0,5,9
ayako,0,16,35
ayal,4,0,7
ayala,1,4,17
ayan,1,1,7
ayana,0,68,112
ayanda,1,2,6
ayanna,0,49,102
ayano,0,3,7
ayaz,3,0,8
aycan,0,2,3
ayda,0,2,3
aydan,0,3,6
aydin,8,0,20
aye,3,7,12
ayeesha,0,3,3
ayelet,0,15,31
ayesha,1,55,111
ayfer,0,2,3
ayhan,10,0,21
ayie,0,2,2
ayinde,5,1,11
ayisha,0,13,22
aykut,5,0,9
ayla,0,11,19
ayleen,0,2,7
aylin,0,9,24
aylon,2,0,3
aym,2,0,2
ayman,17,0,35
ayn,0,2,5
aynsley,0,3,5
aynur,0,3,4
ayo,13,4,29
ayobami,4,0,6
ayodeji,4,0,7
ayodele,8,4,17
ayoka,0,3,5
ayoub,4,0,4
ayres,3,0,3
aysel,0,4,5
aysha,0,16,36
aysia,0,2,2
aytac,3,0,7
aytekin,4,0,7
ayton,2,0,2
ayumi,1,9,29
ayse,0,13,31
aysegul,0,5,11
ayca,0,6,13
az,5,0,6
azad,6,1,9
azadeh,0,2,8
azalea,0,3,6
azalia,0,2,8
azam,3,0,9
azamat,3,0,3
azania,0,2,6
azar,2,2,5
azeem,11,0,16
azeez,4,0,5
azell,2,0,2
azemina,0,2,2
azfar,2,0,2
azhar,5,1,10
azi,1,2,10
azikiwe,2,0,2
azim,6,0,10
aziz,30,0,45
aziza,0,13,31
azizi,1,4,5
azra,0,12,21
azriel,3,0,6
azucena,1,7,10
azul,0,4,5
azure,0,3,7
azusa,0,2,8
azzam,4,0,4
azzi,2,0,2
ba,1,1,3
baadshah,2,0,2
baba,12,2,21
babacar,3,0,4
babajide,3,0,5
babak,7,0,16
babar,3,1,9
babatunde,10,0,16
babette,0,8,18
babi,1,1,5
babie,1,4,7
babita,0,4,14
babs,1,7,14
babu,7,0,12
bacardi,0,2,2
bacari,2,0,2
bach,3,0,5
bachi,2,0,3
bachir,3,0,5
back,4,1,8
backstage,1,1,3
bacon,2,0,3
badd,0,2,5
bader,3,1,9
badiya,0,2,2
badr,5,0,7
badri,3,0,4
badrul,2,0,3
badsha,2,0,2
bae,0,3,4
baek,1,1,3
bah,5,1,7
baha,5,0,8
bahaa,2,0,3
bahadir,5,0,12
bahar,1,6,18
bahman,2,0,3
bahram,4,0,6
bai,1,2,3
baiju,3,0,3
baila,0,5,11
bailey,16,21,68
bajan,1,3,8
bajram,3,0,5
bakari,8,0,10
bakary,2,0,2
baker,3,3,13
bal,1,1,2
bala,6,1,10
balazs,3,0,5
balbino,2,0,2
baldwin,6,0,12
balfour,2,0,2
baljit,2,1,5
balkrishna,2,0,2
ball,1,1,4
balla,2,0,2
balogun,4,1,5
balraj,3,0,3
balthazar,3,0,4
bam,8,1,12
bamba,2,0,2
bambi,0,9,15
bamboo,3,0,6
bambu,2,0,2
bamidele,0,2,3
bana,0,3,5
bandar,2,0,3
bane,4,0,5
bang,4,2,6
bani,2,1,5
banica,2,0,2
banks,6,0,7
banny,1,1,4
banu,1,6,20
bany,1,1,2
bao,7,1,18
bappi,2,0,2
baptiste,4,0,12
bar,8,2,20
bara,2,7,9
baraa,1,1,3
barack,3,0,5
barak,16,0,31
baraka,2,0,4
baran,6,0,11
barb,1,12,28
barbara,0,1577,2462
barbaros,2,0,5
barbee,0,2,2
barbie,1,38,70
barbosa,1,1,4
barbra,0,23,39
bard,2,0,2
bari,2,22,70
baris,21,0,36
barkeem,2,0,2
barkley,2,3,6
barlow,2,0,2
barnabas,3,0,6
barnaby,5,0,14
barnard,1,2,7
barnes,2,1,5
barnett,5,1,7
barney,40,0,62
baron,20,1,35
barrack,2,0,2
barret,2,1,4
barrett,19,3,36
barrette,1,1,2
barri,0,8,17
barrie,3,9,45
barrington,18,0,28
barron,7,0,11
barry,391,4,661
bart,57,1,99
bartjan,2,0,2
bartley,1,1,7
bartlomiej,2,0,2
bartolome,2,0,2
barton,6,0,13
bartosz,3,0,9
baruch,8,0,25
bary,1,1,3
bas,2,0,4
basak,0,4,7
basanta,2,0,2
basar,2,0,6
basdeo,2,0,3
basel,2,0,5
basem,10,0,13
bash,2,0,5
bashar,5,0,6
basheer,2,0,3
bashir,11,1,18
bashira,0,2,2
bashkim,2,0,3
bashment,1,1,2
basia,0,9,17
basil,39,0,57
basim,3,0,3
basirat,0,2,3
basit,3,0,8
basma,0,5,7
bass,4,2,10
bassam,9,0,9
bassem,7,0,11
bassie,0,2,3
bassirou,2,0,2
basso,2,0,2
bastian,4,1,8
bastien,9,1,14
bat,3,1,5
bates,2,0,4
batia,0,5,7
batista,0,2,3
bato,2,0,3
batsheva,0,9,20
battle,2,2,5
batu,2,0,4
batuhan,7,0,10
batya,0,8,24
baxter,7,0,14
bay,3,2,7
bayard,2,0,4
bayo,8,1,12
bayram,2,0,4
bayron,3,0,5
bayu,3,0,4
bayyinah,0,2,3
baz,3,0,6
be,5,3,18
bea,2,26,60
beach,2,0,4
bean,2,0,4
beanie,1,2,7
bear,9,1,17
beat,6,0,11
beata,0,36,66
beate,0,5,8
beaton,2,0,2
beatrice,0,116,207
beatriz,0,93,176
beau,36,3,80
beauti,0,2,2
beautifull,0,3,5
beaux,2,0,3
beba,0,7,17
bebe,2,14,29
bebi,0,2,3
bebo,3,0,4
becca,0,87,231
becci,0,2,4
beck,3,2,6
becka,0,7,15
beckett,2,0,4
becki,0,5,11
beckie,0,8,11
beckley,1,1,2
becky,0,201,470
bedford,3,1,4
bee,8,17,56
beebe,0,2,2
beena,0,8,13
beenish,0,2,5
beer,3,0,6
begum,0,2,5
behnam,3,0,4
behnaz,0,2,2
behrooz,2,0,3
behrouz,3,0,3
behroz,2,0,2
behzad,2,0,6
bei,1,5,9
beibei,0,4,6
bek,1,2,4
beka,2,4,9
bekah,0,4,13
beki,0,3,4
bekim,12,0,17
bekir,5,0,8
bel,0,3,6
bela,5,6,17
belal,3,0,6
belen,1,10,21
belenda,0,2,2
belgica,0,3,7
belia,0,2,3
belinda,0,123,227
belisa,0,2,3
belissa,0,2,5
belkis,0,27,37
belky,0,3,4
belkys,0,6,9
bell,3,6,19
bella,1,113,195
belladonna,1,1,3
belle,0,21,41
bello,5,0,6
belma,0,4,7
beloved,0,3,3
beltran,2,1,4
belynda,0,2,2
ben,979,2,2055
bena,0,2,4
benard,2,0,3
benben,2,0,3
bender,14,0,17
benedetta,0,10,18
benedetto,5,0,10
benedict,15,0,25
benedicta,0,5,7
benedicte,0,4,7
benedikt,3,0,4
benee,1,1,3
bengie,2,0,2
bengt,2,0,2
beni,6,0,11
beniam,2,0,2
benigno,3,0,5
benita,0,24,43
benito,19,0,27
benj,6,0,15
benja,2,1,3
benjamin,587,1,1129
benji,18,0,41
benjie,9,1,11
benjy,8,0,18
benn,5,0,7
bennet,3,0,7
bennett,29,0,60
benni,3,0,7
bennie,7,2,17
benno,4,0,7
benny,155,3,273
beno,2,0,2
benoit,14,0,25
benoni,2,0,3
benson,21,0,39
bent,1,1,4
bente,0,2,2
benthly,1,1,2
bentley,9,0,11
benton,5,0,12
bentzi,2,0,5
bentzy,2,0,3
beny,3,2,8
benzi,2,0,3
benzion,3,0,5
beowulf,2,0,2
beppe,4,0,5
ber,3,0,6
berat,3,1,7
bere,0,3,3
berel,2,0,7
berenice,0,13,23
berhane,2,0,3
beric,2,0,2
beril,0,3,4
berit,0,2,4
berk,9,0,16
berkcan,2,0,2
berke,2,0,4
berkeley,2,0,6
berker,2,0,3
berkin,2,0,2
berkowitz,1,1,3
berlin,0,2,3
berlinda,0,2,5
berline,0,2,2
berly,0,2,2
berlyn,1,1,3
bern,1,1,6
berna,0,5,11
bernabe,2,0,2
bernadetta,0,3,3
bernadette,0,212,355
bernadine,0,14,19
bernard,186,0,313
bernarda,0,3,4
bernardine,0,2,2
bernardo,45,0,76
bernd,7,0,10
bernell,2,0,2
bernette,0,2,2
bernhard,6,0,11
bernice,0,71,134
bernie,55,10,101
bernita,0,2,2
berns,1,2,3
berny,5,0,8
berrada,1,1,2
berrin,0,5,7
berry,1,5,17
bert,51,3,85
berta,1,15,26
bertha,0,26,40
berthe,0,5,5
berthony,2,0,3
berti,0,2,3
bertie,2,1,5
bertilio,2,0,2
bertin,4,0,7
bertina,0,2,5
bertine,0,2,2
berto,8,0,15
berton,4,0,4
bertram,11,0,16
bertran,2,0,2
bertrand,12,1,19
berty,2,0,4
beryl,1,16,25
besa,0,2,10
beshoy,2,0,3
besik,2,0,2
besim,7,0,12
besnik,9,0,17
bess,0,12,37
bessie,0,13,29
best,4,4,11
bet,0,2,2
beth,0,533,1224
bethan,1,1,2
bethania,0,6,8
bethann,0,9,12
bethanne,0,7,10
bethany,0,79,187
bethe,0,2,2
bethea,2,0,2
bethel,0,3,4
bethina,0,2,2
bethsaida,0,3,4
bethsy,0,2,3
bethzaida,0,3,4
betina,0,8,12
beto,11,0,13
betsaida,0,4,4
betsey,0,12,25
betsy,0,208,416
bette,1,24,32
better,2,0,3
betti,0,6,9
bettie,0,7,12
bettina,0,39,74
bettinna,0,2,2
bettsy,0,3,4
betty,0,284,482
bettyann,0,7,11
betty-ann,0,2,2
bettyanne,0,3,3
betzaida,0,9,13
betzy,1,4,5
betul,0,2,3
beulah,0,4,6
bev,0,10,23
bevan,4,0,7
beverley,0,27,41
beverly,0,249,354
beverlyn,0,3,3
bevin,2,2,12
bevon,4,0,8
bex,0,3,9
bey,1,1,2
beyonce,0,5,7
beyond,3,0,7
bezalel,2,0,4
bhadra,0,2,2
bhakta,2,0,3
bharat,17,0,28
bharath,5,0,8
bhargav,2,0,5
bharti,0,3,3
bhash,3,0,4
bhaskar,3,0,5
bhavana,0,2,4
bhavani,0,4,4
bhavesh,5,0,11
bhavik,2,0,5
bhavin,11,0,17
bhavna,0,4,15
bhawna,0,2,6
bhoj,2,0,2
bhumi,0,2,3
bhumika,0,2,4
bhushan,2,0,2
bi,2,0,3
bia,0,4,6
biagio,8,0,12
biana,0,14,27
bianca,1,249,533
bianchi,0,2,2
bianka,0,10,15
bianny,1,2,4
bibai,1,1,2
bibbin,2,0,2
bibi,2,39,86
bibiana,0,8,15
bibiane,0,2,3
bibo,1,1,4
biby,0,2,2
bidisha,0,2,2
bie,2,0,2
bien,1,3,5
bienvenida,0,3,3
bienvenido,6,0,9
biff,2,0,5
big,4,0,7
bigapple,1,1,3
bigbad,1,1,2
bigd,2,0,2
bigg,10,0,16
biggie,8,0,10
biggs,4,0,5
biggy,2,0,4
bigmike,3,0,3
bijal,1,3,10
bijan,4,0,9
bijesh,2,0,2
bijli,0,2,2
bijou,0,4,7
bijoy,2,0,3
biju,6,0,12
bike,2,1,5
bikram,4,2,11
bil,3,1,7
bilal,41,0,66
bilbo,2,0,3
bilge,1,1,5
bilgin,2,0,4
biljana,0,5,10
bilkis,0,2,3
bill,958,1,1635
billie,3,22,51
billur,0,3,4
bilqis,0,2,2
bim,4,0,7
bimal,3,1,6
bin,16,1,34
bina,0,16,33
binayak,2,0,2
binbin,0,2,2
binder,2,0,2
bindi,0,2,5
bindia,0,2,3
bindu,0,7,12
bing,21,8,45
binh,4,1,11
biniam,2,0,2
binish,1,1,2
binit,2,0,2
bino,3,0,6
binod,6,0,6
binoy,4,0,8
binta,1,3,9
bintou,0,2,6
binu,7,3,13
binyamin,4,0,13
binyomin,6,0,7
bionca,0,2,3
bipasha,0,2,2
bipin,4,0,5
bircan,0,2,2
bird,3,1,6
birdie,1,3,4
birdy,1,2,4
biren,3,0,7
birgit,0,12,19
birgitta,0,2,5
birma,0,2,2
birol,5,0,6
biron,2,0,2
birsen,0,2,3
biser,2,0,2
bisera,0,2,2
bishnu,4,0,7
bishop,14,0,21
bishoy,3,0,10
bisi,0,4,7
biskit,1,1,2
bismark,4,0,7
bismillah,2,0,2
bisola,0,2,6
bita,0,4,13
bitsy,0,3,5
bitta,0,2,2
bitz,2,0,2
biz,3,2,7
bizarro,3,0,3
bizness,2,0,2
bizzy,4,0,7
bjarne,2,0,2
bjay,2,0,2
bjoern,2,0,4
bjorn,14,0,22
bklyn,3,1,8
blac,2,0,2
blacc,2,0,2
black,38,11,89
blade,3,0,3
bladimir,5,0,8
blain,3,0,4
blaine,18,5,38
blair,27,65,209
blaire,0,7,19
blaise,18,0,35
blake,116,17,274
blakely,1,1,5
blanca,0,86,141
blanche,0,18,26
blanco,4,2,6
blanka,0,3,5
blaque,1,1,2
blas,8,0,10
blase,2,1,3
blayne,0,2,11
blaze,9,2,17
bledar,8,0,11
bledi,2,0,7
blendi,4,0,4
blerim,10,0,11
blero,2,0,2
blerta,1,6,11
bless,1,4,9
blessed,2,0,5
blessen,2,0,5
blessing,2,3,9
blessy,0,3,8
bleu,2,0,4
bliksem,1,1,2
blimie,0,2,4
blind,3,1,4
bling,2,0,4
blinky,2,0,3
bliss,4,6,18
block,2,0,4
blossom,0,6,9
blu,7,2,13
blue,17,9,57
blythe,0,13,29
bmw,2,0,2
bo,51,20,139
boanerges,2,0,2
boateng,1,1,2
boaz,17,0,30
bob,688,4,1081
boba,2,1,3
bobae,0,3,3
boban,4,0,4
bobb,1,1,3
bobbe,0,2,2
bobbi,2,34,67
bobbie,10,27,57
bobble,12,11,27
bobby,517,6,900
bobi,1,1,3
bobo,6,2,17
boby,4,1,6
boca,2,1,4
bode,3,0,4
bodie,3,0,4
boey,1,3,5
bogdan,17,0,36
bohdan,4,0,5
bojan,12,0,18
bojana,0,3,7
bola,8,9,25
bolaji,3,0,4
bolanle,0,3,4
bolivar,6,0,17
bomi,0,2,6
bon,3,1,10
bona,1,1,6
bonafide,2,1,3
bond,2,1,7
bones,3,0,5
bong,7,1,11
bongani,2,0,2
bongo,2,0,3
boni,2,1,3
bonifacio,2,0,4
bonita,0,21,35
bonna,0,2,3
bonner,2,0,2
bonney,0,2,3
bonni,0,5,12
bonnie,1,294,547
bonny,6,6,25
bonus,1,1,2
bonzo,2,0,3
boo,16,3,23
booboo,1,2,6
boogaloo,2,0,2
boogie,5,1,13
boogz,2,0,2
book,3,1,5
booker,1,1,5
boom,1,2,7
boomer,1,1,6
boone,2,0,3
booth,2,0,4
boots,4,1,5
bora,10,5,25
boram,0,5,9
bori,1,1,7
boriqua,2,0,2
boris,156,0,291
borislav,4,0,7
borja,4,0,4
born,4,1,11
borna,3,0,5
borris,3,0,3
boruch,6,0,16
bosco,6,1,11
bose,0,3,5
bosie,2,0,2
bosko,3,0,3
boss,13,2,24
bossman,3,0,3
boston,3,0,4
bouba,3,0,5
boubacar,5,0,7
bouna,1,1,3
bourne,2,0,3
bow,1,1,2
bowen,5,0,10
bowery,0,2,3
bowie,2,1,5
boyan,3,0,5
boyce,4,2,7
boyd,4,0,7
boyet,2,0,3
boysie,2,0,2
bozena,0,7,8
bozhena,0,2,5
bracci,3,0,3
bracha,1,13,30
brack,2,0,2
brad,359,1,726
bradd,4,0,6
braden,8,0,15
bradford,30,1,60
bradlee,2,0,2
bradley,148,0,280
bradly,2,0,2
brady,25,0,57
brahim,5,1,8
brain,1,1,3
bram,6,0,14
bran,1,1,2
brand,4,0,5
brandan,6,0,11
brandee,0,8,13
branden,29,0,45
brandi,0,72,150
brandie,0,9,20
brandis,2,2,10
brando,10,0,18
brandon,741,5,1456
brandt,3,1,13
brandy,1,63,109
brandyn,5,0,6
branimir,2,0,2
branislav,2,0,6
branka,0,4,7
brankica,0,2,2
branko,10,0,16
brannon,3,0,7
brant,5,0,18
brantley,2,0,3
brasserie,1,1,2
braudy,1,1,2
braulio,19,0,29
bravado,2,0,2
brave,2,0,2
bravo,1,2,4
braxton,2,0,5
brayan,8,0,13
brayden,7,0,9
braydon,2,0,2
brazil,2,2,7
brano,3,0,3
bre,0,6,11
brea,0,3,5
bread,2,0,3
break,2,0,5
breana,0,4,13
breanna,0,8,27
breanne,0,12,24
bred,2,0,2
breda,0,4,10
breddy,2,0,2
bree,0,36,66
breen,0,2,2
breena,0,2,5
breeze,2,2,5
breezy,0,4,9
breffny,1,1,2
brei,0,2,2
bren,0,5,10
brenda,0,474,777
brendalee,0,2,4
brendalis,0,2,3
brendaliz,0,2,4
brendaly,0,2,2
brenden,13,0,29
brendon,36,0,63
brendy,0,2,6
brenna,0,21,57
brennan,20,2,41
brennen,1,1,7
brennon,2,0,2
brent,156,0,285
brenton,12,0,24
breon,0,2,3
bret,31,0,66
breton,2,1,3
brett,296,22,690
brette,0,2,5
bri,1,12,39
bria,0,12,27
brian,2910,1,5672
briana,0,73,206
brianda,0,3,4
briani,0,2,2
brianna,0,110,274
brianne,0,45,112
briar,0,2,3
brice,12,0,30
brickz,2,0,2
bridal,0,2,2
bridey,0,2,2
bridge,2,1,6
bridget,0,169,405
bridgett,0,12,17
bridgette,0,40,81
bridgit,0,4,10
bridie,0,7,11
brie,0,11,39
brielle,0,5,15
brien,9,1,18
brienne,0,5,10
brigette,0,13,25
briggitte,0,2,3
briggs,1,1,3
brighid,0,2,4
bright,7,1,15
