author,female,source
w3531.4,0,1
w3535.1,0,1
w3545.2,0,1
w3551.1,0,1
w3556.1,0,1
w3557.2,0,1
w3559.2,0,1
w3565.2,0,0
w3566.2,1,1
w3567.1,0,1
w3568.1,-1,0
w3570.1,0,1
w3573.2,0,1
w3576.1,0,1
w3577.1,0,1
w3587.1,0,1
w3587.2,0,1
w3590.1,0,1
w3592.1,0,1
w3598.1,0,1
w3604.2,1,1
w3606.1,0,0
w3611.3,0,1
w3612.2,0,1
w3614.1,0,0
w3617.2,0,1
w3628.1,0,1
w3628.2,0,1
w3631.2,0,1
w3633.1,0,1
w3633.2,0,1
w3634.2,0,0
w3643.2,0,1
w3644.1,0,1
w3647.2,0,1
w3651.1,0,1
w3654.2,1,1
w3661.1,0,1
w3662.2,1,2
w3663.3,0,1
w3665.1,1,1
w3666.2,0,1
w3670.2,0,1
w3671.1,0,1
w3671.3,1,1
w3673.2,1,0
w3673.3,0,0
w3674.2,0,1
w3675.2,0,1
w3679.2,1,1
w3679.3,0,1
w3687.2,0,1
w3690.2,0,1
w3692.2,0,1
w3699.2,0,0
w3701.1,1,1
w3704.2,0,1
w3706.1,0,1
w3707.1,0,1
w3717.1,0,1
w3722.2,0,1
w3724.2,0,1
w3726.2,0,1
w3729.1,0,1
w3733.1,0,1
w3733.2,0,1
w3736.1,1,1
w3741.2,0,1
w3742.2,0,1
w3747.3,0,1
w3749.2,0,1
w3750.1,1,1
w3751.1,1,1
w3752.1,0,1
w3753.1,0,1
w3754.1,0,1
w3754.3,0,1
w3755.1,0,1
w3755.2,1,1
w3759.1,1,1
w3760.1,0,1
w3783.1,0,1
w3785.2,0,1
w3787.2,0,1
w3787.3,1,1
w3787.4,0,1
w3789.1,0,1
w3790.1,0,2
w3797.3,0,0
w3798.1,0,1
w3799.2,-1,0
w3801.1,0,1
w3804.2,0,1
w3805.2,0,1
w3806.2,0,0
w3810.1,0,1
w3813.2,0,1
w3818.1,0,0
w3819.2,0,1
w3824.2,0,1
w3827.1,1,1
w3830.2,0,1
w3832.2,1,1
w3833.2,0,1
w3841.5,0,1
w3842.1,0,1
w3847.2,0,1
w3853.1,0,1
w3859.2,0,1
w3871.2,0,1
w3871.3,0,0
w3871.4,0,1
w3872.1,0,1
w3882.1,0,1
w3886.1,0,1
w3886.2,1,1
w3887.2,0,1
w3892.2,0,1
w3894.2,0,1
w3907.1,1,1
w3907.2,0,1
w3909.1,1,0
w3909.2,0,1
w3910.2,0,0
w3918.1,0,1
w3918.3,0,1
w3919.1,0,1
w3919.2,0,0
w3921.2,0,1
w3922.1,0,1
w3924.1,0,1
w3924.2,0,1
w3925.2,0,1
w3939.1,0,1
w3942.2,0,1
w3944.1,0,1
w3946.2,0,1
w3949.2,0,1
w3955.2,0,0
w3962.1,0,1
w3977.2,0,1
w3978.2,1,1
w3981.1,1,1
w3984.2,0,1
w3987.1,0,1
w3993.3,1,1
w3996.1,0,1
w4004.2,0,2
w4010.3,0,1
w4011.1,0,1
w4013.1,0,1
w4013.2,0,1
w4015.2,0,1
w4016.1,0,1
w4026.1,0,1
w4031.1,0,1
w4036.1,0,1
w4041.2,0,1
w4044.1,0,0
w4047.1,0,1
w4048.1,1,1
w4049.1,0,1
w4054.2,0,1
w4060.1,0,1
w4063.3,0,1
w4069.1,0,1
w4070.1,0,1
w4071.1,0,1
w4074.1,0,1
w4074.3,0,0
w4075.1,0,1
w4086.1,0,1
w4092.2,0,1
w4101.2,0,1
w4103.1,0,1
w4105.1,0,1
w4107.2,0,1
w4108.2,0,1
w4109.2,0,1
w4109.3,1,1
w4111.2,0,0
w4115.2,1,1
w4118.1,0,1
w4120.2,0,1
w4125.3,0,1
w4126.2,1,1
w4126.3,0,1
w4130.1,0,1
w4131.1,0,0
w4133.2,0,1
w4137.1,1,0
w4138.1,0,1
w4139.3,1,1
